medical,simple
The patient underwent a laparoscopic cholecystectomy due to cholelithiasis.,The patient had a laparoscopic cholecystectomy (minimally invasive surgery to remove the gallbladder) due to cholelithiasis (gallstones).
He was diagnosed with myocardial infarction and prescribed thrombolytic therapy.,He was diagnosed with myocardial infarction (heart attack) and prescribed thrombolytic therapy (medication to dissolve blood clots).
The child presented with erythematous rash and was treated with antihistamines.,The child had an erythematous rash (red skin rash) and was treated with antihistamines (allergy medicine).
The patient was administered intravenous fluids for dehydration.,The patient was given intravenous fluids (fluids through an IV) for dehydration (loss of too much body fluid).
He was diagnosed with benign prostatic hyperplasia and is considering transurethral resection of the prostate.,He was diagnosed with benign prostatic hyperplasia (enlarged prostate) and is considering transurethral resection of the prostate (surgery to remove part of the prostate).
The patient suffered from a compound fracture of the tibia.,The patient suffered from a compound fracture (broken bone that pierces the skin) of the tibia (shin bone).
She was treated for acute renal failure with hemodialysis.,She was treated for acute renal failure (sudden kidney failure) with hemodialysis (machine to clean the blood).
He was diagnosed with deep vein thrombosis and put on anticoagulants.,He was diagnosed with deep vein thrombosis (blood clot in a deep vein) and put on anticoagulants (blood thinners).
The patient was administered a beta-blocker for hypertension.,The patient was given a beta-blocker (medication to slow the heart) for hypertension (high blood pressure).
She underwent a total hip arthroplasty due to osteoarthritis.,She had a total hip arthroplasty (hip replacement surgery) due to osteoarthritis (joint disease causing pain and stiffness).
The patient presented with dyspnea and was treated with supplemental oxygen.,The patient had dyspnea (difficulty breathing) and was treated with supplemental oxygen (extra oxygen).
He was diagnosed with type 2 diabetes mellitus and prescribed metformin.,He was diagnosed with type 2 diabetes mellitus (a type of diabetes) and prescribed metformin (diabetes medication).
The patient has a history of atrial fibrillation and is on antiarrhythmic medication.,The patient has a history of atrial fibrillation (irregular heartbeat) and is on antiarrhythmic medication (medication to correct the heartbeat).
She was treated for gastroesophageal reflux disease with a proton pump inhibitor.,She was treated for gastroesophageal reflux disease (acid reflux) with a proton pump inhibitor (medication to reduce stomach acid).
The patient presented with hematuria and was referred for a cystoscopy.,The patient had hematuria (blood in the urine) and was referred for a cystoscopy (a procedure to look inside the bladder).
He was diagnosed with chronic obstructive pulmonary disease and prescribed bronchodilators.,"He was diagnosed with chronic obstructive pulmonary disease (COPD, a lung disease) and prescribed bronchodilators (medication to open the airways)."
The patient underwent a coronary artery bypass graft due to severe coronary artery disease.,The patient had a coronary artery bypass graft (heart bypass surgery) due to severe coronary artery disease (blocked heart arteries).
She presented with menorrhagia and was evaluated for potential uterine fibroids.,She had menorrhagia (heavy menstrual bleeding) and was evaluated for potential uterine fibroids (non-cancerous growths in the uterus).
The patient has a history of hyperlipidemia and is on statin therapy.,The patient has a history of hyperlipidemia (high cholesterol) and is on statin therapy (medication to lower cholesterol).
He was treated for acute bronchitis with a course of antibiotics.,He was treated for acute bronchitis (short-term lung infection) with a course of antibiotics (medication to fight bacteria).
The patient presented with syncope and was advised to undergo an ECG.,The patient had syncope (fainting) and was advised to undergo an ECG (heart test).
She was diagnosed with systemic lupus erythematosus and started on immunosuppressive therapy.,She was diagnosed with systemic lupus erythematosus (an autoimmune disease) and started on immunosuppressive therapy (medication to suppress the immune system).
The patient was administered epinephrine for anaphylaxis.,The patient was given epinephrine (adrenaline) for anaphylaxis (severe allergic reaction).
He underwent an endoscopy to investigate the cause of his dyspepsia.,He had an endoscopy (a procedure to look inside the digestive tract) to investigate the cause of his dyspepsia (indigestion).
The patient presented with tinnitus and was referred to an otolaryngologist.,"The patient had tinnitus (ringing in the ears) and was referred to an otolaryngologist (ear, nose, and throat doctor)."
She was diagnosed with rheumatoid arthritis and prescribed disease-modifying antirheumatic drugs.,She was diagnosed with rheumatoid arthritis (a type of arthritis) and prescribed disease-modifying antirheumatic drugs (medication to slow the disease).
The patient was treated for peptic ulcer disease with proton pump inhibitors.,The patient was treated for peptic ulcer disease (sores in the stomach lining) with proton pump inhibitors (medication to reduce stomach acid).
He was diagnosed with glaucoma and prescribed intraocular pressure-lowering medication.,He was diagnosed with glaucoma (an eye condition) and prescribed intraocular pressure-lowering medication (medication to reduce eye pressure).
The patient presented with pruritus and was advised to use topical corticosteroids.,The patient had pruritus (itching) and was advised to use topical corticosteroids (skin creams).
She was diagnosed with ulcerative colitis and started on anti-inflammatory medication.,She was diagnosed with ulcerative colitis (a type of bowel disease) and started on anti-inflammatory medication (medication to reduce inflammation).
The patient was treated for bacterial meningitis with intravenous antibiotics.,The patient was treated for bacterial meningitis (a serious brain infection) with intravenous antibiotics (antibiotics through an IV).
He underwent a colonoscopy to screen for colorectal cancer.,He had a colonoscopy (a procedure to look inside the colon) to screen for colorectal cancer (colon cancer).
The patient presented with cellulitis and was prescribed oral antibiotics.,The patient had cellulitis (a skin infection) and was prescribed oral antibiotics (antibiotics taken by mouth).
She was diagnosed with chronic kidney disease and referred to a nephrologist.,She was diagnosed with chronic kidney disease (long-term kidney damage) and referred to a nephrologist (kidney doctor).
The patient was administered a sedative prior to undergoing an MRI scan.,The patient was given a sedative (medicine to help calm down) before undergoing an MRI scan (a type of imaging test).
He presented with dysphagia and was scheduled for a barium swallow test.,He had dysphagia (difficulty swallowing) and was scheduled for a barium swallow test (an imaging test of the throat and esophagus).
The patient has a history of gout and is on uric acid-lowering medication.,The patient has a history of gout (a type of arthritis) and is on uric acid-lowering medication (medication to reduce uric acid levels).
She was treated for acute pancreatitis with intravenous fluids and pain management.,She was treated for acute pancreatitis (sudden inflammation of the pancreas) with intravenous fluids (IV fluids) and pain management.
The patient was diagnosed with Barrett's esophagus and scheduled for regular surveillance endoscopies.,The patient was diagnosed with Barrett's esophagus (a condition affecting the esophagus) and scheduled for regular surveillance endoscopies (regular checks of the esophagus).
He underwent a lumbar puncture to rule out meningitis.,He had a lumbar puncture (spinal tap) to rule out meningitis (a brain infection).
The patient presented with tachycardia and was given beta-blockers.,The patient had tachycardia (fast heartbeat) and was given beta-blockers (medication to slow the heart).
She was diagnosed with polycystic ovary syndrome and started on hormonal therapy.,She was diagnosed with polycystic ovary syndrome (a hormone imbalance) and started on hormonal therapy (hormone treatment).
The patient was treated for shingles with antiviral medication.,The patient was treated for shingles (a viral infection causing a painful rash) with antiviral medication (medication to fight the virus).
He presented with epistaxis and was advised to apply pressure and ice packs.,He had epistaxis (nosebleed) and was advised to apply pressure and ice packs.
The patient was diagnosed with obstructive sleep apnea and recommended continuous positive airway pressure therapy.,"The patient was diagnosed with obstructive sleep apnea (a sleep disorder) and recommended continuous positive airway pressure therapy (CPAP, a machine to help breathe during sleep)."
She underwent a DEXA scan to evaluate for osteoporosis.,She had a DEXA scan (bone density test) to evaluate for osteoporosis (weak bones).
The patient was treated for bacterial endocarditis with intravenous antibiotics.,The patient was treated for bacterial endocarditis (heart valve infection) with intravenous antibiotics (antibiotics through an IV).
He was diagnosed with hypothyroidism and prescribed levothyroxine.,He was diagnosed with hypothyroidism (underactive thyroid) and prescribed levothyroxine (thyroid hormone replacement).
The patient presented with conjunctivitis and was given antibiotic eye drops.,The patient had conjunctivitis (pink eye) and was given antibiotic eye drops.
She was diagnosed with multiple sclerosis and started on disease-modifying therapy.,She was diagnosed with multiple sclerosis (a disease of the nervous system) and started on disease-modifying therapy (medication to slow the disease).
The patient was administered an antiemetic for nausea and vomiting.,The patient was given an antiemetic (medication to stop nausea and vomiting).
