medical,simple
I am writing this letter to you to let you know that your levels are high enough that I think intervention is the next best step .,I am writing this letter to you to let you know that your levels are high enough that i think we will need to do something
There is 1+ pretibial edema .,there is moderate swelling around the bottom of your legs
"BACK : Atraumatic , nontender .",your back has not undergone an injury and is not tender
Mr. A has had no hospitalizations or other illnesses since I last saw him .,Mr. A has not been in hospital or had any other illnesses since i last saw him .
PREOPERATIVE DIAGNOSIS : Adenocarcinoma of the prostate .,diagnosis prior to surgery is cancer of the prostate.
"In addition , any home allergens such as pets , down bedding or other factors should be removed from the sleep environment .","any things that could cause an allergy such as pets, down bedding or other factors shoudl be removed from around where you sleep"
"Based on fluctuations in processing speed and attention , it is possible that the patient ' current medications may be impacting her cognitive functioning to some degree .","based on changes in the patients ability to process information and attention, it might be possible that the patients current medications may be altering her ability to think"
NEUROLOGICAL : Normal tone .,"there is the right amount of ""tension"" in the muscles at rest"
Bowel sounds are hypoactive .,the sounds of the gut are less then normal
"Apparently , he tells me I froze a previous wart on him in the past and it went away .","Apparently, he tells me I froze a previous mole on him in the past and it went away"
Abdomen : Obese .,belly seems larger then normal.
CENTRAL NERVOUS SYSTEM : Without any obvious focal deficits .,the nerves system have no obvious defects
The tone is characterized by paratonia .,the tone was characterized by being unable to relax the muscle.
Sample Name : Middle Ear Exploration,looking inside the ear canal
No polyps or malignancy was identified .,no unusual growth or cancer was seen.
The bronchoscope was then sequentially advanced into each segment and sub-segment of the left upper lobe and left lower lobe .,the scope for seeing into the lung was moved into each area of the left lung.
Patient indicates no modifying factors .,patient indicates nothing that can change the situation.
"He denied any bowel/bladder difficulties , neck pain , or weakness .","He did not have any difficulties going to the toilet or passing water, neck pain or weakness"
The vertigo had not been consistently associated with positional change and could last hours to days .,The dizzyness has not always been associated with change in position and could last from a few hours to days.
She has been refusing cardiac catheter and she may well need aortic valve replacement .,she has been refusing a device to help her heart and she may well need an operation to replace a valve in her heart
"A recent needle puncture mark is at the left anterior wrist with surrounding reddish ecchymosis , 1 inch in diameter .","A recent needle puncture mark is at the front left wrist with a bruised area around it, 1 inch in diameter."
The remainder of her systems negative .,the remainer of her body hasd no problems
The patient tolerated the operation well .,the patient took the operation well
